# bert_prediction,  crf_prediction
#此开卷第一回也．作者自云：因曾历过一番梦幻之后，故将真事隐去，而借"通灵"之说，撰此《石头记》一书也．故曰"甄士隐"云云．但书中所记何事何人？自又云：   |||  作者  ||| 作者自云
1 0
#石道：   |||  石  ||| 
1 0
#石头听了，感谢不尽．那僧便念咒书符，大展幻术，将一块大石登时变成一块鲜明莹洁的美玉，且又缩成扇坠大小的可佩可拿．那僧托于掌上，笑道：   |||  那僧  ||| 石头那僧
1 0
#那僧道也忙答礼相问．士隐因说道：   |||  士隐  ||| 那僧士隐
1 0
#士隐听了，知是疯话，也不去睬他．那僧还说：   |||  那僧  ||| 士隐
1 0
#好防佳节元宵后，便是烟消火灭时．士隐听得明白，心下犹豫，意欲问他们来历．只听道人说道：   |||  道人  ||| 士隐道人
1 0
#雨村忙起身亦让道：   |||  雨村  ||| 
1 0
#因问：   |||  因  ||| 
0 1
#天上一轮才捧出，人间万姓仰头看．士隐听了，大叫：   |||  士隐  ||| 
1 0
#当下即命小童进去，速封五十两白银，并两套冬衣．又云：   |||  小童进去，速封五十两白银  ||| 
0 1
#此开卷第一回也．作者自云：因曾历过一番梦幻之后，故将真事隐去，而借"通灵"之说，撰此《石头记》一书也．故曰"甄士隐"云云．但书中所记何事何人？自又云：   |||  作者  ||| 作者自云
1 0
#石道：   |||  石  ||| 
1 0
#石头听了，感谢不尽．那僧便念咒书符，大展幻术，将一块大石登时变成一块鲜明莹洁的美玉，且又缩成扇坠大小的可佩可拿．那僧托于掌上，笑道：   |||  那僧  ||| 石头那僧
1 0
#那僧道也忙答礼相问．士隐因说道：   |||  士隐  ||| 那僧士隐
1 0
#士隐听了，知是疯话，也不去睬他．那僧还说：   |||  那僧  ||| 士隐
1 0
#好防佳节元宵后，便是烟消火灭时．士隐听得明白，心下犹豫，意欲问他们来历．只听道人说道：   |||  道人  ||| 士隐道人
1 0
#雨村忙起身亦让道：   |||  雨村  ||| 
1 0
#因问：   |||  因  ||| 
0 1
#天上一轮才捧出，人间万姓仰头看．士隐听了，大叫：   |||  士隐  ||| 
1 0
#当下即命小童进去，速封五十两白银，并两套冬衣．又云：   |||  小童进去，速封五十两白银  ||| 
0 1
#士隐本是有宿慧的，一闻此言，心中早已彻悟．因笑道：   |||  士隐  ||| 
1 0
#这日，那甄家大丫鬟在门前买线，忽听街上喝道之声，众人都说新太爷到任．丫鬟于是隐在门内看时，只见军牢快手，一对一对的过去，俄而大轿抬着一个乌帽猩袍的官府过去．丫鬟倒发了个怔，自思这官好面善，倒象在那里见过的．于是进入房中，也就丢过不在心上．至晚间，正待歇息之时，忽听一片声打的门响，许多人乱嚷，说：   |||  许多人  ||| 甄家大丫鬟众人许多人
1 0
#那天约二更时，只见封肃方回来，欢天喜地．众人忙问端的．他乃说道：   |||  封肃  ||| 
1 0
#雨村不耐烦，便仍出来，意欲到那村肆中沽饮三杯，以助野趣，于是款步行来．将入肆门，只见座上吃酒之客有一人起身大笑，接了出来，口内说：   |||  有一人  ||| 
1 0
#雨村忙看时，此人是都中在古董行中贸易的号冷子兴者，旧日在都相识．雨村最赞这冷子兴是个有作为大本领的人，这子兴又借雨村斯文之名，故二人说话投机，最相契合．雨村忙笑问道：   |||  雨村  ||| 雨村雨村
1 0
#子兴见他说得这样重大，忙请教其端．雨村道：   |||  雨村  ||| 子兴雨村
1 0
#雨村听了，心下方信了昨日子兴之言，于是又谢了林如海．如海乃说：   |||  如海  ||| 雨村如海
1 0
#且说黛玉自那日弃舟登岸时，便有荣国府打发了轿子并拉行李的车辆久候了．这林黛玉常听得母亲说过，他外祖母家与别家不同．他近日所见的这几个三等仆妇，吃穿用度，已是不凡了，何况今至其家．因此步步留心，时时在意，不肯轻易多说一句话，多行一步路，惟恐被人耻笑了他去．自上了轿，进入城中从纱窗向外瞧了一瞧，其街市之繁华，人烟之阜盛，自与别处不同．又行了半日，忽见街北蹲着两个大石狮子，三间兽头大门，门前列坐着十来个华冠丽服之人．正门却不开，只有东西两角门有人出入．正门之上有一匾，匾上大书"敕造宁国府"五个大字．黛玉想道：这必是外祖之长房了．想着，又往西行，不多远，照样也是三间大门，方是荣国府了．却不进正门，只进了西边角门．那轿夫抬进去，走了一射之地，将转弯时，便歇下退出去了．后面的婆子们已都下了轿，赶上前来．另换了三四个衣帽周全十七八岁的小厮上来，复抬起轿子．众婆子步下围随至一垂花门前落下．众小厮退出，众婆子上来打起轿帘，扶黛玉下轿．林黛玉扶着婆子的手，进了垂花门，两边是抄手游廊，当中是穿堂，当地放着一个紫檀架子大理石的大插屏．转过插屏，小小的三间厅，厅后就是后面的正房大院．正面五间上房，皆雕梁画栋，两边穿山游廊厢房，挂着各色鹦鹉，画眉等鸟雀．台矶之上，坐着几个穿红着绿的丫头，一见他们来了，便忙都笑迎上来，说：   |||  婆子们  ||| 林黛玉人黛玉小厮几个穿红着绿的丫头
0 0
#于是三四人争着打起帘笼，一面听得人回话：   |||  人  ||| 
0 0
#黛玉方进入房时，只见两个人搀着一位鬓发如银的老母迎上来，黛玉便知是他外祖母．方欲拜见时，早被他外祖母一把搂入怀中，心肝儿肉叫着大哭起来．当下地下侍立之人，无不掩面涕泣，黛玉也哭个不住．一时众人慢慢解劝住了，黛玉方拜见了外祖母．____此即冷子兴所云之史氏太君，贾赦贾政之母也．当下贾母一一指与黛玉：   |||  贾母  ||| 黛玉
1 0
#黛玉一一拜见过．贾母又说：   |||  贾母  ||| 黛玉贾母
1 0
#众人见黛玉年貌虽小，其举止言谈不俗，身体面庞虽怯弱不胜，却有一段自然的风流态度，便知他有不足之症．因问：   |||  众人  ||| 
1 0
#心下想时，只见一群媳妇丫鬟围拥着一个人从后房门进来．这个人打扮与众姑娘不同，彩绣辉煌，恍若神妃仙子：头上戴着金丝八宝攒珠髻，绾着朝阳五凤挂珠钗，项上戴着赤金盘螭璎珞圈，裙边系着豆绿宫绦，双衡比目玫瑰佩，身上穿着缕金百蝶穿花大红洋缎窄Ё袄，外罩五彩刻丝石青银鼠褂，下着翡翠撒花洋绉裙．一双丹凤三角眼，两弯柳叶吊梢眉，身量苗条，体格风骚，粉面含春威不露，丹唇未起笑先闻．黛玉连忙起身接见．贾母笑道，"你不认得他，他是我们这里有名的一个泼皮破落户儿，南省俗谓作`辣子-，你只叫他`凤辣子-就是了。”黛玉正不知以何称呼，只见众姊妹都忙告诉他道：   |||  众姊妹  ||| 个人妃仙贾母
1 0
#黛玉虽不识，也曾听见母亲说过，大舅贾赦之子贾琏，娶的就是二舅母王氏之内侄女，自幼假充男儿教养的，学名王熙凤．黛玉忙陪笑见礼，以"嫂"呼之．这熙凤携着黛玉的手，上下细细打谅了一回，仍送至贾母身边坐下，因笑道：   |||  熙凤  ||| 黛玉熙凤
1 0
#又忙携黛玉之手，问：   |||  黛玉  ||| 
0 1
#一面又问婆子们：   |||  一面  ||| 
0 1
#说话时，已摆了茶果上来．熙凤亲为捧茶捧果．又见二舅母问他：   |||  二舅母  ||| 
1 0
#因又说道：   |||  因  ||| 
0 1
