此开卷第一回也．作者自云：因曾历过一番梦幻之后，故将真事隐去，而借"通灵"之说，撰此《石头记》一书也．故曰"甄士隐"云云．但书中所记何事何人？自又云：  |||  作者
一日，正当嗟悼之际，俄见一僧一道远远而来，生得骨骼不凡，丰神迥异，说说笑笑来至峰下，坐于石边高谈快论．先是说些云山雾海神仙玄幻之事，后便说到红尘中荣华富贵．此石听了，不觉打动凡心，也想要到人间去享一享这荣华富贵，但自恨粗蠢，不得已，便口吐人言，向那僧道说道：  |||  此石
二仙师听毕，齐憨笑道：  |||  二仙师
这石凡心已炽，那里听得进这话去，乃复苦求再四．二仙知不可强制，乃叹道：  |||  二仙
石道：  |||  石
那僧又道：  |||  那僧
石头听了，感谢不尽．那僧便念咒书符，大展幻术，将一块大石登时变成一块鲜明莹洁的美玉，且又缩成扇坠大小的可佩可拿．那僧托于掌上，笑道：  |||  那僧
石头听了，喜不能禁，乃问：  |||  石头
那僧笑道：  |||  那僧
空空道人遂向石头说道：  |||  空空道人
石头笑答道：  |||  石头
一日，炎夏永昼，士隐于书房闲坐，至手倦抛书，伏几少憩，不觉朦胧睡去．梦至一处，不辨是何地方．忽见那厢来了一僧一道，且行且谈．只听道人问道：  |||  道人
那僧笑道：  |||  那僧
那道人道：  |||  道人
那僧笑道：  |||  那僧
那道人道：  |||  道人
那僧道：  |||  那僧
那道人道：  |||  道人
那僧道：  |||  那僧
道人道：  |||  道人
却说甄士隐俱听得明白，但不知所云"蠢物"系何东西．遂不禁上前施礼，笑问道：  |||  甄士隐
那僧道也忙答礼相问．士隐因说道：  |||  士隐
二仙笑道：  |||  二仙
士隐听了，不便再问．因笑道：  |||  士隐
那僧道：  |||  那僧
假作真时真亦假，无为有处有还无．士隐意欲也跟了过去，方举步时，忽听一声霹雳，有若山崩地陷．士隐大叫一声，定睛一看，只见烈日炎炎，芭蕉冉冉，所梦之事便忘了大半．又见奶母正抱了英莲走来．士隐见女儿越发生得粉妆玉琢，乖觉可喜，便伸手接来，抱在怀内，斗他顽耍一回，又带至街前，看那过会的热闹．方欲进来时，只见从那边来了一僧一道：那僧则癞头跣脚，那道则跛足蓬头，疯疯癫癫，挥霍谈笑而至．及至到了他门前，看见士隐抱着英莲，那僧便大哭起来，又向士隐道：  |||  士隐
士隐听了，知是疯话，也不去睬他．那僧还说：  |||  那僧
好防佳节元宵后，便是烟消火灭时．士隐听得明白，心下犹豫，意欲问他们来历．只听道人说道：  |||  道人
那僧道：  |||  那僧
这士隐正痴想，忽见隔壁葫芦庙内寄居的一个穷儒-姓贾名化，表字时飞，别号雨村者走了出来．这贾雨村原系胡州人氏，也是诗书仕宦之族，因他生于末世，父母祖宗根基已尽，人口衰丧，只剩得他一身一口，在家乡无益，因进京求取功名，再整基业．自前岁来此，又淹蹇住了，暂寄庙中安身，每日卖字作文为生，故士隐常与他交接．当下雨村见了士隐，忙施礼陪笑道：  |||  雨村
士隐笑道：  |||  士隐
说着，便令人送女儿进去，自与雨村携手来至书房中．小童献茶．方谈得三五句话，忽家人飞报：  |||  家人
士隐慌的忙起身谢罪道：  |||  士隐
雨村忙起身亦让道：  |||  雨村
这里雨村且翻弄书籍解闷．忽听得窗外有女子嗽声，雨村遂起身往窗外一看，原来是一个丫鬟，在那里撷花，生得仪容不俗，眉目清明，虽无十分姿色，却亦有动人之处．雨村不觉看的呆了．那甄家丫鬟撷了花，方欲走时，猛抬头见窗内有人，敝巾旧服，虽是贫窘，然生得腰圆背厚，面阔口方，更兼剑眉星眼，直鼻权腮．这丫鬟忙转身回避，心下乃想：  |||  丫鬟
玉在?中求善价，钗于奁内待时飞．恰值士隐走来听见，笑道：  |||  士隐
雨村忙笑道：  |||  雨村
因问：  |||  因问：
士隐笑道：  |||  士隐
雨村听了，并不推辞，便笑道：  |||  雨村
天上一轮才捧出，人间万姓仰头看．士隐听了，大叫：  |||  士隐
乃亲斟一斗为贺．雨村因干过，叹道：  |||  雨村
士隐不待说完，便道：  |||  士隐
当下即命小童进去，速封五十两白银，并两套冬衣．又云：  |||  小童
雨村收了银衣，不过略谢一语，并不介意，仍是吃酒谈笑．那天已交了三更，二人方散．士隐送雨村去后，回房一觉，直至红日三竿方醒．因思昨夜之事，意欲再写两封荐书与雨村带至神都，使雨村投谒个仕宦之家为寄足之地．因使人过去请时，那家人去了回来说：  |||  家人
痴心父母古来多，孝顺儿孙谁见了？士隐听了，便迎上来道：  |||  士隐
  |||  empty
士隐本是有宿慧的，一闻此言，心中早已彻悟．因笑道：  |||  士隐
道人笑道：  |||  道人
